price,date,coin
93047.15238417375,2025-02-07 00:00:00,bitcoin
93460.28168051473,2025-02-08 00:00:00,bitcoin
93491.74111451581,2025-02-09 00:00:00,bitcoin
93615.43283429353,2025-02-10 00:00:00,bitcoin
94540.70775357632,2025-02-11 00:00:00,bitcoin
92364.09002872088,2025-02-12 00:00:00,bitcoin
94159.60243133068,2025-02-13 00:00:00,bitcoin
92307.8330149462,2025-02-14 00:00:00,bitcoin
92877.17882262533,2025-02-15 00:00:00,bitcoin
92999.09216728156,2025-02-16 00:00:00,bitcoin
91660.71227155557,2025-02-17 00:00:00,bitcoin
91341.52960606896,2025-02-18 00:00:00,bitcoin
91405.03853150252,2025-02-19 00:00:00,bitcoin
92663.03435451942,2025-02-20 00:00:00,bitcoin
93680.66155266784,2025-02-21 00:00:00,bitcoin
91867.90813457828,2025-02-22 00:00:00,bitcoin
92326.33967418694,2025-02-23 00:00:00,bitcoin
91955.06321410212,2025-02-24 00:00:00,bitcoin
87363.06196029286,2025-02-25 00:00:00,bitcoin
84371.1455747451,2025-02-26 00:00:00,bitcoin
79980.88889487673,2025-02-27 00:00:00,bitcoin
81478.67683320756,2025-02-28 00:00:00,bitcoin
81363.99392410876,2025-03-01 00:00:00,bitcoin
82870.36470479147,2025-03-02 00:00:00,bitcoin
90504.07964230444,2025-03-03 00:00:00,bitcoin
82148.33613319772,2025-03-04 00:00:00,bitcoin
82166.1907294557,2025-03-05 00:00:00,bitcoin
83930.00317170189,2025-03-06 00:00:00,bitcoin
83424.90851265508,2025-03-07 00:00:00,bitcoin
80085.80174525376,2025-03-08 00:00:00,bitcoin
79526.42694984918,2025-03-09 00:00:00,bitcoin
74356.456240904,2025-03-10 00:00:00,bitcoin
72665.18583424798,2025-03-11 00:00:00,bitcoin
75856.73401738856,2025-03-12 00:00:00,bitcoin
77065.46321665138,2025-03-13 00:00:00,bitcoin
74718.5256245086,2025-03-14 00:00:00,bitcoin
76880.29832202969,2025-03-15 00:00:00,bitcoin
77306.5864689375,2025-03-16 00:00:00,bitcoin
75910.64859205775,2025-03-17 00:00:00,bitcoin
76998.99430074666,2025-03-18 00:00:00,bitcoin
75664.50740632173,2025-03-19 00:00:00,bitcoin
79563.22640741953,2025-03-20 00:00:00,bitcoin
77616.22788391747,2025-03-21 00:00:00,bitcoin
77238.36456464554,2025-03-22 00:00:00,bitcoin
77054.9020489095,2025-03-23 00:00:00,bitcoin
79173.13362279187,2025-03-24 00:00:00,bitcoin
80835.78627103886,2025-03-25 00:00:00,bitcoin
81135.60723634843,2025-03-26 00:00:00,bitcoin
80937.68581120633,2025-03-27 00:00:00,bitcoin
80762.24789260485,2025-03-28 00:00:00,bitcoin
77568.36316913941,2025-03-29 00:00:00,bitcoin
76023.3338049204,2025-03-30 00:00:00,bitcoin
76084.44855188446,2025-03-31 00:00:00,bitcoin
76278.00851198542,2025-04-01 00:00:00,bitcoin
78934.69418981239,2025-04-02 00:00:00,bitcoin
75695.38008538041,2025-04-03 00:00:00,bitcoin
75301.41469668013,2025-04-04 00:00:00,bitcoin
76509.59045578145,2025-04-05 00:00:00,bitcoin
76275.89538369751,2025-04-06 00:00:00,bitcoin
71140.69619728561,2025-04-07 00:00:00,bitcoin
72531.24053020743,2025-04-08 00:00:00,bitcoin
69491.45411311415,2025-04-09 00:00:00,bitcoin
75456.1842213969,2025-04-10 00:00:00,bitcoin
70705.92178772751,2025-04-11 00:00:00,bitcoin
73506.17467970919,2025-04-12 00:00:00,bitcoin
75105.76393736854,2025-04-13 00:00:00,bitcoin
73716.10993431724,2025-04-14 00:00:00,bitcoin
74558.64458346224,2025-04-15 00:00:00,bitcoin
74064.18809036232,2025-04-16 00:00:00,bitcoin
73774.73011218943,2025-04-17 00:00:00,bitcoin
74681.53145996567,2025-04-18 00:00:00,bitcoin
74244.36963512853,2025-04-19 00:00:00,bitcoin
74853.6619460574,2025-04-20 00:00:00,bitcoin
74302.9027027906,2025-04-21 00:00:00,bitcoin
75967.75672781939,2025-04-22 00:00:00,bitcoin
82373.97591522612,2025-04-23 00:00:00,bitcoin
82601.28894076985,2025-04-24 00:00:00,bitcoin
82541.33295031555,2025-04-25 00:00:00,bitcoin
83097.06460724253,2025-04-26 00:00:00,bitcoin
83069.09705400318,2025-04-27 00:00:00,bitcoin
82671.16752167573,2025-04-28 00:00:00,bitcoin
83297.36753699004,2025-04-29 00:00:00,bitcoin
82775.55785512735,2025-04-30 00:00:00,bitcoin
83211.48947370166,2025-05-01 00:00:00,bitcoin
85360.41042729841,2025-05-02 00:00:00,bitcoin
85692.96390690545,2025-05-03 00:00:00,bitcoin
